team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Lucknow Super Giants,Delhi Capitals,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Delhi Capitals,field,Delhi Capitals,0,8
Gujarat Titans,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2025,Kolkata Knight Riders,field,Gujarat Titans,39,0
Rajasthan Royals,Royal Challengers Bengaluru,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,9
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,Eden Gardens,2019,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,2018,Delhi Daredevils,field,Rajasthan Royals,10,0
Chennai Super Kings,Kochi Tuskers Kerala,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Chennai Super Kings,bat,Chennai Super Kings,11,0
Gujarat Titans,Mumbai Indians,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Mumbai Indians,field,Gujarat Titans,55,0
Lucknow Super Giants,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2025,Kolkata Knight Riders,field,Lucknow Super Giants,4,0
Lucknow Super Giants,Gujarat Titans,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,bat,Lucknow Super Giants,33,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2023,Kolkata Knight Riders,field,Sunrisers Hyderabad,23,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,JSCA International Stadium Complex,2014,Chennai Super Kings,bat,Royal Challengers Bangalore,0,5
Kings XI Punjab,Royal Challengers Bangalore,Dharamsala,Himachal Pradesh Cricket Association Stadium,2011,Kings XI Punjab,bat,Kings XI Punjab,111,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2015,Mumbai Indians,field,Kings XI Punjab,18,0
Rising Pune Supergiants,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,2016,Mumbai Indians,field,Mumbai Indians,0,8
Gujarat Lions,Royal Challengers Bangalore,Rajkot,Saurashtra Cricket Association Stadium,2016,Royal Challengers Bangalore,bat,Gujarat Lions,0,6
Kings XI Punjab,Delhi Capitals,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Delhi Capitals,field,Kings XI Punjab,14,0
