team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Chennai Super Kings,field,Chennai Super Kings,0,9
Chennai Super Kings,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,2018,Mumbai Indians,field,Mumbai Indians,0,8
Mumbai Indians,Chennai Super Kings,Mumbai,"Wankhede Stadium, Mumbai",2023,Chennai Super Kings,field,Chennai Super Kings,0,7
Kings XI Punjab,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,2012,Delhi Daredevils,field,Delhi Daredevils,0,6
Mumbai Indians,Lucknow Super Giants,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Mumbai Indians,bat,Mumbai Indians,81,0
Sunrisers Hyderabad,Punjab Kings,Mumbai,"Wankhede Stadium, Mumbai",2022,Sunrisers Hyderabad,bat,Punjab Kings,0,5
Gujarat Titans,Chennai Super Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Chennai Super Kings,field,Chennai Super Kings,0,5
Chennai Super Kings,Rajasthan Royals,Pune,Maharashtra Cricket Association Stadium,2018,Rajasthan Royals,field,Chennai Super Kings,64,0
Sunrisers Hyderabad,Rising Pune Supergiant,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,field,Rising Pune Supergiant,12,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2007/08,Mumbai Indians,field,Kings XI Punjab,1,0
Gujarat Lions,Sunrisers Hyderabad,Rajkot,Saurashtra Cricket Association Stadium,2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,10
Deccan Chargers,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2012,Deccan Chargers,field,Kings XI Punjab,25,0
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2014,Delhi Daredevils,bat,Kolkata Knight Riders,0,8
Chennai Super Kings,Gujarat Titans,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Gujarat Titans,field,Chennai Super Kings,63,0
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,2018,Kings XI Punjab,field,Sunrisers Hyderabad,13,0
Royal Challengers Bengaluru,Punjab Kings,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024,Punjab Kings,field,Royal Challengers Bengaluru,60,0
Royal Challengers Bangalore,Rising Pune Supergiants,Bangalore,M Chinnaswamy Stadium,2016,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Mumbai Indians,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2025,Delhi Capitals,field,Mumbai Indians,12,0
Delhi Capitals,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Rajasthan Royals,field,Delhi Capitals,33,0
Gujarat Titans,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Gujarat Titans,bat,Gujarat Titans,7,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2015,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,Chennai Super Kings,bat,Sunrisers Hyderabad,0,6
Mumbai Indians,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Mumbai Indians,bat,Delhi Capitals,0,6
Delhi Capitals,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2022,Mumbai Indians,field,Mumbai Indians,0,5
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2015,Royal Challengers Bangalore,field,Mumbai Indians,18,0
Mumbai Indians,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Chennai Super Kings,field,Chennai Super Kings,0,4
Kings XI Punjab,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,5
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2014,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2013,Rajasthan Royals,field,Rajasthan Royals,0,4
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2016,Kings XI Punjab,field,Kolkata Knight Riders,7,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2011,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Lucknow Super Giants,Delhi Capitals,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,bat,Delhi Capitals,0,6
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2007/08,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0
Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,2013,Rajasthan Royals,field,Rajasthan Royals,0,6
Punjab Kings,Kolkata Knight Riders,Mumbai,"Wankhede Stadium, Mumbai",2022,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Deccan Chargers,Rajasthan Royals,Kimberley,De Beers Diamond Oval,2009,Deccan Chargers,bat,Deccan Chargers,53,0
Delhi Capitals,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021,Chennai Super Kings,field,Chennai Super Kings,0,4
Punjab Kings,Sunrisers Hyderabad,Sharjah,Sharjah Cricket Stadium,2021,Sunrisers Hyderabad,field,Punjab Kings,5,0
Kings XI Punjab,Chennai Super Kings,Dharamsala,Himachal Pradesh Cricket Association Stadium,2009/10,Chennai Super Kings,field,Chennai Super Kings,0,6
Royal Challengers Bangalore,Mumbai Indians,Dubai,Dubai International Cricket Stadium,2021,Mumbai Indians,field,Royal Challengers Bangalore,54,0
Royal Challengers Bangalore,Rajasthan Royals,Cape Town,Newlands,2009,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,75,0
Punjab Kings,Royal Challengers Bengaluru,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,7
Chennai Super Kings,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2024,Mumbai Indians,field,Chennai Super Kings,20,0
Chennai Super Kings,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2025,Mumbai Indians,field,Mumbai Indians,0,9
Kings XI Punjab,Royal Challengers Bangalore,Indore,Holkar Cricket Stadium,2017,Royal Challengers Bangalore,bat,Kings XI Punjab,0,8
Deccan Chargers,Pune Warriors,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Deccan Chargers,bat,Pune Warriors,0,6
Delhi Capitals,Chennai Super Kings,Delhi,Arun Jaitley Stadium,2019,Delhi Capitals,bat,Chennai Super Kings,0,6
Delhi Capitals,Mumbai Indians,Mumbai,Wankhede Stadium,2019,Mumbai Indians,field,Delhi Capitals,37,0
Deccan Chargers,Rajasthan Royals,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2009/10,Rajasthan Royals,bat,Rajasthan Royals,2,0
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2009/10,Mumbai Indians,bat,Kings XI Punjab,0,6
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2007/08,Kolkata Knight Riders,bat,Mumbai Indians,0,7
Rajasthan Royals,Delhi Daredevils,Mumbai,Brabourne Stadium,2015,Delhi Daredevils,field,Rajasthan Royals,14,0
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2014,Kings XI Punjab,field,Kings XI Punjab,0,6
Deccan Chargers,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Deccan Chargers,field,Mumbai Indians,37,0
Royal Challengers Bengaluru,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Royal Challengers Bengaluru,bat,Chennai Super Kings,0,6
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Mumbai Indians,bat,Sunrisers Hyderabad,0,7
Rajasthan Royals,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,Rajasthan Royals,bat,Delhi Capitals,0,5
Chennai Super Kings,Sunrisers Hyderabad,Ranchi,JSCA International Stadium Complex,2014,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6
Gujarat Lions,Delhi Daredevils,Kanpur,Green Park,2017,Delhi Daredevils,field,Delhi Daredevils,0,2
Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025,Chennai Super Kings,field,Royal Challengers Bengaluru,2,0
Delhi Daredevils,Rajasthan Royals,Bloemfontein,OUTsurance Oval,2009,Delhi Daredevils,bat,Delhi Daredevils,14,0
Kings XI Punjab,Deccan Chargers,Dharamsala,Himachal Pradesh Cricket Association Stadium,2009/10,Deccan Chargers,field,Deccan Chargers,0,5
Pune Warriors,Kochi Tuskers Kerala,Mumbai,Dr DY Patil Sports Academy,2011,Kochi Tuskers Kerala,bat,Pune Warriors,0,4
Chennai Super Kings,Deccan Chargers,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Chennai Super Kings,bat,Chennai Super Kings,10,0
Punjab Kings,Royal Challengers Bengaluru,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,8
Delhi Capitals,Sunrisers Hyderabad,Delhi,Arun Jaitley Stadium,2019,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Delhi Capitals,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Gujarat Titans,field,Gujarat Titans,0,7
Kings XI Punjab,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015,Kings XI Punjab,bat,Chennai Super Kings,0,7
Kings XI Punjab,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2013,Chennai Super Kings,field,Chennai Super Kings,0,10
Kolkata Knight Riders,Gujarat Titans,Kolkata,"Eden Gardens, Kolkata",2023,Gujarat Titans,field,Gujarat Titans,0,7
Rajasthan Royals,Punjab Kings,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,field,Rajasthan Royals,50,0
Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019,Delhi Capitals,field,Delhi Capitals,0,2
Rising Pune Supergiants,Kings XI Punjab,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Kings XI Punjab,bat,Rising Pune Supergiants,0,4
Rajasthan Royals,Chennai Super Kings,NA,Dubai International Cricket Stadium,2014,Rajasthan Royals,field,Chennai Super Kings,7,0
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2009/10,Kolkata Knight Riders,bat,Kolkata Knight Riders,14,0
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2014,Mumbai Indians,field,Mumbai Indians,0,7
Kings XI Punjab,Mumbai Indians,Dharamsala,Himachal Pradesh Cricket Association Stadium,2013,Mumbai Indians,field,Kings XI Punjab,50,0
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2014,Chennai Super Kings,field,Chennai Super Kings,0,4
Kings XI Punjab,Delhi Daredevils,Pune,Maharashtra Cricket Association Stadium,2015,Kings XI Punjab,bat,Delhi Daredevils,0,5
Kolkata Knight Riders,Mumbai Indians,Mumbai,Wankhede Stadium,2019,Mumbai Indians,field,Mumbai Indians,0,9
Chennai Super Kings,Mumbai Indians,Kolkata,Eden Gardens,2013,Mumbai Indians,bat,Mumbai Indians,23,0
Chennai Super Kings,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2023,Chennai Super Kings,bat,Chennai Super Kings,77,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011,Rajasthan Royals,field,Kings XI Punjab,48,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2009/10,Kings XI Punjab,field,Rajasthan Royals,31,0
Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2013,Kolkata Knight Riders,field,Rajasthan Royals,19,0
Chennai Super Kings,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,2009/10,Chennai Super Kings,bat,Chennai Super Kings,38,0
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2015,Rajasthan Royals,field,Mumbai Indians,8,0
Punjab Kings,Gujarat Titans,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Gujarat Titans,field,Gujarat Titans,0,6
Kolkata Knight Riders,Chennai Super Kings,Kolkata,"Eden Gardens, Kolkata",2025,Kolkata Knight Riders,bat,Chennai Super Kings,0,2
Delhi Daredevils,Kolkata Knight Riders,Pune,Subrata Roy Sahara Stadium,2012,Kolkata Knight Riders,bat,Kolkata Knight Riders,18,0
Delhi Daredevils,Mumbai Indians,NA,Sharjah Cricket Stadium,2014,Mumbai Indians,bat,Delhi Daredevils,0,6
Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,2012,Rajasthan Royals,bat,Delhi Daredevils,0,6
Kings XI Punjab,Royal Challengers Bangalore,Indore,Holkar Cricket Stadium,2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10
Mumbai Indians,Kings XI Punjab,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Kings XI Punjab,field,Kings XI Punjab,0,8
Chennai Super Kings,Rajasthan Royals,Delhi,"Arun Jaitley Stadium, Delhi",2025,Rajasthan Royals,field,Rajasthan Royals,0,6
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2018,Rajasthan Royals,field,Rajasthan Royals,0,7
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2011,Chennai Super Kings,bat,Kolkata Knight Riders,10,0
Sunrisers Hyderabad,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,11,0
Rising Pune Supergiants,Delhi Daredevils,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Rising Pune Supergiants,field,Rising Pune Supergiants,19,0
Delhi Daredevils,Deccan Chargers,Delhi,Feroz Shah Kotla,2009/10,Deccan Chargers,bat,Deccan Chargers,11,0
Delhi Capitals,Rajasthan Royals,NA,Sharjah Cricket Stadium,2020/21,Rajasthan Royals,field,Delhi Capitals,46,0
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2013,Rajasthan Royals,field,Mumbai Indians,14,0
Sunrisers Hyderabad,Gujarat Lions,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Kolkata Knight Riders,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2025,Mumbai Indians,field,Mumbai Indians,0,8
Kolkata Knight Riders,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021,Rajasthan Royals,field,Rajasthan Royals,0,6
Kings XI Punjab,Royal Challengers Bangalore,NA,Dubai International Cricket Stadium,2014,Kings XI Punjab,field,Kings XI Punjab,0,5
Punjab Kings,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Punjab Kings,bat,Punjab Kings,10,0
Gujarat Lions,Kings XI Punjab,Rajkot,Saurashtra Cricket Association Stadium,2017,Gujarat Lions,field,Kings XI Punjab,26,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,Maharashtra Cricket Association Stadium,2015,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,71,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Chennai Super Kings,bat,Chennai Super Kings,24,0
Punjab Kings,Mumbai Indians,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Mumbai Indians,field,Mumbai Indians,0,6
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2014,Sunrisers Hyderabad,bat,Mumbai Indians,0,7
Punjab Kings,Gujarat Titans,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Punjab Kings,bat,Gujarat Titans,0,3
Deccan Chargers,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Deccan Chargers,bat,Delhi Daredevils,0,9
Royal Challengers Bangalore,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2022,Delhi Capitals,field,Royal Challengers Bangalore,16,0
Chennai Super Kings,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Chennai Super Kings,bat,Chennai Super Kings,83,0
Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,M.Chinnaswamy Stadium,2019,Kings XI Punjab,field,Royal Challengers Bangalore,17,0
Delhi Capitals,Lucknow Super Giants,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Lucknow Super Giants,field,Lucknow Super Giants,0,6
Chennai Super Kings,Mumbai Indians,Cape Town,Newlands,2009,Chennai Super Kings,field,Mumbai Indians,19,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Sunrisers Hyderabad,field,Chennai Super Kings,77,0
Deccan Chargers,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Kings XI Punjab,field,Kings XI Punjab,0,7
Royal Challengers Bangalore,Gujarat Titans,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Gujarat Titans,field,Gujarat Titans,0,6
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2007/08,Kings XI Punjab,bat,Kolkata Knight Riders,0,3
Deccan Chargers,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Rajasthan Royals,field,Rajasthan Royals,0,8
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2007/08,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,"Wankhede Stadium, Mumbai",2022,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,67,0
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,"Sardar Patel Stadium, Motera",2014,Rajasthan Royals,field,Sunrisers Hyderabad,32,0
Deccan Chargers,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Deccan Chargers,bat,Chennai Super Kings,0,7
Lucknow Super Giants,Sunrisers Hyderabad,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Sunrisers Hyderabad,field,Lucknow Super Giants,12,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2009/10,Chennai Super Kings,field,Royal Challengers Bangalore,36,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2007/08,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,0
Gujarat Titans,Mumbai Indians,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Mumbai Indians,field,Gujarat Titans,36,0
Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,"Sardar Patel Stadium, Motera",2014,Kolkata Knight Riders,field,Rajasthan Royals,10,0
Chennai Super Kings,Pune Warriors,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Pune Warriors,field,Chennai Super Kings,13,0
Pune Warriors,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,2011,Deccan Chargers,field,Deccan Chargers,0,6
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Royal Challengers Bangalore,bat,Kings XI Punjab,0,9
Mumbai Indians,Sunrisers Hyderabad,NA,Sharjah Cricket Stadium,2020/21,Mumbai Indians,bat,Mumbai Indians,34,0
Mumbai Indians,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kings XI Punjab,field,Mumbai Indians,48,0
Chennai Super Kings,Delhi Capitals,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Delhi Capitals,field,Chennai Super Kings,91,0
Deccan Chargers,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Deccan Chargers,bat,Royal Challengers Bangalore,0,5
Chennai Super Kings,Mumbai Indians,Port Elizabeth,St George's Park,2009,Mumbai Indians,bat,Chennai Super Kings,0,7
Kolkata Knight Riders,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Chennai Super Kings,bat,Kolkata Knight Riders,0,5
Royal Challengers Bangalore,Mumbai Indians,Mumbai,Wankhede Stadium,2019,Mumbai Indians,field,Mumbai Indians,0,5
Kolkata Knight Riders,Kings XI Punjab,NA,Sharjah Cricket Stadium,2020/21,Kings XI Punjab,field,Kings XI Punjab,0,8
Mumbai Indians,Lucknow Super Giants,Mumbai,"Wankhede Stadium, Mumbai",2025,Lucknow Super Giants,field,Mumbai Indians,54,0
Chennai Super Kings,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2022,Mumbai Indians,field,Mumbai Indians,0,5
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2013,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Delhi Daredevils,Sunrisers Hyderabad,Delhi,Arun Jaitley Stadium,2018,Delhi Daredevils,bat,Sunrisers Hyderabad,0,9
Gujarat Lions,Delhi Daredevils,Rajkot,Saurashtra Cricket Association Stadium,2016,Delhi Daredevils,field,Delhi Daredevils,0,8
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9
Rising Pune Supergiant,Kings XI Punjab,Pune,Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,field,Rising Pune Supergiant,0,9
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2013,Kolkata Knight Riders,bat,Kolkata Knight Riders,48,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2013,Kings XI Punjab,field,Kings XI Punjab,0,7
Sunrisers Hyderabad,Mumbai Indians,Mumbai,Wankhede Stadium,2018,Mumbai Indians,field,Sunrisers Hyderabad,31,0
Mumbai Indians,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,Rajasthan Royals,field,Rajasthan Royals,0,5
Chennai Super Kings,Gujarat Titans,Mumbai,"Wankhede Stadium, Mumbai",2022,Chennai Super Kings,bat,Gujarat Titans,0,7
Rajasthan Royals,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2023,Rajasthan Royals,bat,Mumbai Indians,0,6
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,"Eden Gardens, Kolkata",2025,Sunrisers Hyderabad,field,Kolkata Knight Riders,80,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2017,Royal Challengers Bangalore,bat,Mumbai Indians,0,5
Rajasthan Royals,Chennai Super Kings,Guwahati,"Barsapara Cricket Stadium, Guwahati",2025,Chennai Super Kings,field,Rajasthan Royals,6,0
Gujarat Titans,Royal Challengers Bengaluru,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,9
Kings XI Punjab,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,Delhi Capitals,field,Delhi Capitals,0,5
Chennai Super Kings,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Sunrisers Hyderabad,Chennai Super Kings,Sharjah,Sharjah Cricket Stadium,2021,Chennai Super Kings,field,Chennai Super Kings,0,6
Rajasthan Royals,Royal Challengers Bangalore,Dubai,Dubai International Cricket Stadium,2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Royal Challengers Bangalore,Rising Pune Supergiant,Bangalore,M Chinnaswamy Stadium,2017,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,0
Mumbai Indians,Rising Pune Supergiant,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Rising Pune Supergiant,3,0
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2016,Kolkata Knight Riders,field,Delhi Daredevils,27,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,58,0
Delhi Daredevils,Royal Challengers Bangalore,NA,Sharjah Cricket Stadium,2014,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Delhi Capitals,Sunrisers Hyderabad,Mumbai,"Brabourne Stadium, Mumbai",2022,Sunrisers Hyderabad,field,Delhi Capitals,21,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2016,Mumbai Indians,field,Mumbai Indians,0,6
Pune Warriors,Mumbai Indians,Pune,Subrata Roy Sahara Stadium,2013,Pune Warriors,bat,Mumbai Indians,0,5
Royal Challengers Bangalore,Deccan Chargers,Bangalore,M Chinnaswamy Stadium,2009/10,Deccan Chargers,field,Deccan Chargers,0,7
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Royal Challengers Bangalore,bat,Chennai Super Kings,0,5
Sunrisers Hyderabad,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2017,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Mumbai Indians,Kochi Tuskers Kerala,Mumbai,Wankhede Stadium,2011,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,8
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Royal Challengers Bangalore,field,Chennai Super Kings,8,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2015,Kolkata Knight Riders,field,Mumbai Indians,5,0
Mumbai Indians,Deccan Chargers,Mumbai,Wankhede Stadium,2011,Deccan Chargers,bat,Deccan Chargers,10,0
Delhi Daredevils,Chennai Super Kings,Delhi,Arun Jaitley Stadium,2018,Chennai Super Kings,field,Delhi Daredevils,34,0
Royal Challengers Bangalore,Kings XI Punjab,NA,Sharjah Cricket Stadium,2020/21,Royal Challengers Bangalore,bat,Kings XI Punjab,0,8
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2012,Royal Challengers Bangalore,field,Kolkata Knight Riders,42,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2007/08,Mumbai Indians,field,Mumbai Indians,0,9
Deccan Chargers,Delhi Daredevils,Cuttack,Barabati Stadium,2009/10,Deccan Chargers,bat,Deccan Chargers,10,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Royal Challengers Bangalore,field,Kolkata Knight Riders,21,0
Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Delhi Capitals,bat,Delhi Capitals,17,0
